id,idx,bin,printer,plate,file,x_mm,y_mm,w_mm,d_mm,height_mm,area_mm2,est_g
C130,1161,0,X1C,1,plates_f0_emerald_X1C.3mf,-96.0,-87.0,40.1,47.1,69.6,7079,7.1
C107,838,0,X1C,1,plates_f0_emerald_X1C.3mf,-41.7,-85.9,60.6,49.2,68.9,8771,8.8
B55,807,0,X1C,1,plates_f0_emerald_X1C.3mf,14.7,-86.8,45.4,47.4,68.8,8062,8.1
H128,1024,0,X1C,1,plates_f0_emerald_X1C.3mf,67.8,-85.5,51.6,49.9,66.8,8124,8.1
C131,1128,0,X1C,1,plates_f0_emerald_X1C.3mf,-2.9,-52.9,46.2,42.4,66.6,6178,6.2
B91,83,0,X1C,1,plates_f0_emerald_X1C.3mf,-78.4,-37.6,51.2,58.4,66.2,9277,9.3
G48,458,0,X1C,1,plates_f0_emerald_X1C.3mf,52.2,-32.0,56.5,62.4,65.2,9016,9.0
I61,176,0,X1C,1,plates_f0_emerald_X1C.3mf,-32.1,-8.1,51.9,54.0,65.0,8445,8.4
C22,384,0,X1C,1,plates_f0_emerald_X1C.3mf,90.7,5.2,49.5,52.7,64.8,7593,7.6
B90,984,0,X1C,1,plates_f0_emerald_X1C.3mf,16.3,8.4,52.7,56.7,63.8,7774,7.8
I94,837,0,X1C,1,plates_f0_emerald_X1C.3mf,-86.5,17.5,59.0,57.9,63.5,8737,8.7
C128,1003,0,X1C,1,plates_f0_emerald_X1C.3mf,-12.1,43.1,43.8,54.5,63.2,6919,6.9
B125,205,0,X1C,1,plates_f0_emerald_X1C.3mf,56.0,50.5,52.0,58.1,62.9,7720,7.7
A5,6,0,X1C,1,plates_f0_emerald_X1C.3mf,-62.7,60.3,54.6,45.4,60.1,7137,7.1
B33,1031,0,X1C,1,plates_f0_emerald_X1C.3mf,24.7,69.1,41.4,39.7,51.7,4616,4.6
B86,1100,0,X1C,1,plates_f0_emerald_X1C.3mf,95.0,70.8,41.9,42.3,49.1,4359,4.4
G41,912,0,X1C,1,plates_f0_emerald_X1C.3mf,-93.9,75.2,44.3,33.2,37.4,4055,4.1
