id,idx,bin,extruder,cylinder,file
COIL_1,-,-,6,1,coil_1.3mf
B11,10,2,3,1,coil_1.3mf
A85,41,4,5,1,coil_1.3mf
A82,69,1,2,1,coil_1.3mf
A115,129,4,5,1,coil_1.3mf
A99,142,1,2,1,coil_1.3mf
A67,196,1,2,1,coil_1.3mf
A112,229,0,1,1,coil_1.3mf
B13,230,3,4,1,coil_1.3mf
A68,316,3,4,1,coil_1.3mf
A129,342,3,4,1,coil_1.3mf
A83,355,0,1,1,coil_1.3mf
A111,435,1,2,1,coil_1.3mf
A100,462,2,3,1,coil_1.3mf
A113,475,0,1,1,coil_1.3mf
B12,508,3,4,1,coil_1.3mf
A66,602,1,2,1,coil_1.3mf
A97,620,0,1,1,coil_1.3mf
A131,770,4,5,1,coil_1.3mf
A84,779,0,1,1,coil_1.3mf
A128,851,3,4,1,coil_1.3mf
A69,892,4,5,1,coil_1.3mf
A96,910,1,2,1,coil_1.3mf
A98,1002,0,1,1,coil_1.3mf
A126,1011,2,3,1,coil_1.3mf
A114,1048,3,4,1,coil_1.3mf
A130,1056,3,4,1,coil_1.3mf
A101,1063,3,4,1,coil_1.3mf
B10,1112,3,4,1,coil_1.3mf
A127,1186,1,2,1,coil_1.3mf
COIL_2,-,-,6,2,coil_2.3mf
I85,29,2,3,2,coil_2.3mf
I41,60,0,1,2,coil_2.3mf
I5,115,3,4,2,coil_2.3mf
I55,127,3,4,2,coil_2.3mf
I72,141,1,2,2,coil_2.3mf
I57,183,1,2,2,coil_2.3mf
I7,206,3,4,2,coil_2.3mf
I21,327,3,4,2,coil_2.3mf
I56,445,3,4,2,coil_2.3mf
I71,455,1,2,2,coil_2.3mf
I60,461,1,2,2,coil_2.3mf
I8,513,2,3,2,coil_2.3mf
I23,558,0,1,2,coil_2.3mf
I4,624,4,5,2,coil_2.3mf
I20,646,4,5,2,coil_2.3mf
I38,706,3,4,2,coil_2.3mf
I58,709,0,1,2,coil_2.3mf
I26,722,0,1,2,coil_2.3mf
I73,739,0,1,2,coil_2.3mf
I24,750,2,3,2,coil_2.3mf
I70,876,1,2,2,coil_2.3mf
I39,901,1,2,2,coil_2.3mf
I42,964,1,2,2,coil_2.3mf
I6,965,2,3,2,coil_2.3mf
I25,1042,2,3,2,coil_2.3mf
I40,1079,0,1,2,coil_2.3mf
I86,1116,2,3,2,coil_2.3mf
I22,1124,2,3,2,coil_2.3mf
I59,1150,0,1,2,coil_2.3mf
